Left context,Center,Right context,Class
" превратить в формулы, металл, социальную ",конструкцию,в этическую норму.  ,1
языковые,конструкции,из фонем и звуковых аллитераций ,1
языковые,конструкции,состоять?  ,1
языков,конструкция,системы может быть тождественна ее ,1
языковые,конструкции,из понятий и высказываний.  ,1
" а «заторможенной» реакцией, опосредованной сложной ",конструкцией,языковой,1
  В зависимости от конкретной ,конструкции,частотно,1
 и вплетены в ажурные игровые ,конструкции,но их игра это игра ,1
" время образуется флексией, а будущее ",конструкцией,буду+ глагол.  ,1
языковых,конструкций,и здесь сразу же выявляется ,1
грамматические,конструкции,"прошлое в настоящем, будущее в ",1
" Чехова ― простой, ясный ― со сжатыми ",конструкциями,недлинной фразой».  ,1
языка,конструкция, ,1
 такой скудости элементов построить все ,конструкции,языках,1
 в своей грамматике и смысловой ,конструкции,"правила движения и рефлексии, удержания ",1
" переводчик с немецкого, говорит о лесах ― ",конструкциях,"здесь ― поэтических размерах), потребных всякому ",1
 сначала видится временная необходимость новых-старых ,конструкций,языка,1
 На этом фоне вопрос о «,конструкции,языка,1
грамматической,конструкции,так неудобно склонять в журналистском ,1
 функций и несколько основных алгоритмических ,конструкций,язык,1
языки,конструкции,"разрешающего типа», позволяющие (а не предписывающие, как ",1
"  Вспомним также, что ",конструкции,языка,1
 создания формальной семантики для многих ,конструкций,языков,1
грамматическими,конструкциями,одновременно незаметно исправляя ошибки) и ,1
" производность), либо, как в пассивной ",конструкции,грамматической,1
языка,конструкции,семантика которых предполагает отсылку к ,1
"  Напротив, ",конструкция,"Accusativus cum Infnitivo, исчезнувшая в ",1
языке,конструкция,"не встречается, тогда как у ",1
Грамматическую,конструкции,до сих пор нельзя считать ,1
грамматические,конструкции, ,1
" пользоваться, а не заучивать формальные ",конструкции,и слова.  ,1
языковая,конструкция,что «под наркозом» или «под ,1
языка,конструкций, ,1
языке,конструкции,"каменной кладке этажей, укреплении краев ",1
 единственное число в такого типа ,конструкциях, ,1
 к унаследованным от предков мыслительным ,конструкциям,грамматическим,1
языковых,конструкций, ,1
 нашем примере ― аппроксимативно-количественное в ,конструкциях,номинативно,1
" прежде всего, в составе условных ",конструкций,Тирофф считает необходимым приписывать им ,1
языке,конструкциях,выражающих ирреальное условие или «некатегоричность ,1
 формы их составных частей (примерами ,конструкций,языковые,1
"  Например, ",конструкции,языка,1
" следующие работы, посвященные описанию конкретных ",конструкций,языка,1
 описывая пространство с помощью предложных ,конструкций,содержит не только информацию о ,1
"  Так, анализируя каузативно-аппликативную ",конструкцию,языке,1
Язык,конструкций,конструкций,1
язык,конструкции,традиционные формулы» 128.  ,1
грамматических,конструкций, ,1
 виду слово не как фонетическая ,конструкция,языка,1
 которые создаются внутри словесных художественных ,конструкций,и не могут быть перекодированы ,1
языков,конструкции,с ярко выраженной категорией отграниченности ,1
языковом,конструкция,гасит избыточность языковой.  При этом ,1
грамматических,конструкций,  7. Оценка заданной структуры синтагматического ,1
Грамматическая,конструкция,дает осмысление этих стихов в ,1
грамматической,конструкции,"центром действия было «я», то ",1
грамматическая,конструкции,было объято» придают значение сверхличностного ,1
грамматические,конструкции,как выражение акта приобщения.  ,1
грамматические,конструкции, ,1
 одинаковых лексем и одинаковых синтаксических ,конструкций,но один из них является ,1
 слов была вкраплена в надежную ,конструкцию,языка,1
  Славянский переводчик знал эту ,конструкцию,хотел ее привить и к ,1
язык,конструкцию,ап.  ,1
" заключался в том, как инженерные ",конструкции,и зарождавшиеся новые технические идеи ,1
языковая,конструкция,"но такая, которая является в ",1
  Существует какая-то подвижная ,конструкция,"явно материальная, составленная из элементов ",1
номинативная,конструкция,"а в (21б), с УЖЕ ",1
 так и лексем или синтаксических ,конструкций,методом толкований при всех его ,1
язык,конструкцию,эта определенность и однозначность не ,1
языка,конструкциями,конструкциями,1
 или иным словом или синтаксической ,конструкцией, ,1
грамматической,конструкции,использовании простейших слов и прозрачном ,1
 ничего» продиктован бессознательным переводом всей ,конструкции,на немецкий (где «ничего» гораздо ,1
" века, в частности, допустимыми считались ",конструкции,где придаточное с который входит в ,1
языку,конструкций,типа (27) — (29) не допускают ,1
 стоять слева от него (сравнительная ,конструкция,"имеет фиксированное актуальное членение, см ",1
языка,конструкциях,с относительными местоимениями возникает довольно ,1
 проективности в большинстве других структур — ,конструкции,с относительным местоимением составляют исключение ,1
языке,конструкция,допустима: Artists whom I knew who were interesting men were bad artists.  ,1
" пишут, и вся мудреная хайдеггеровская ",конструкция,согласно которой «подлинное бытие» выявляется ,1
язык,конструкцией,для выражения идентификации.  ,1
 числе со вторым компонентом5; эта ,конструкция,языке,1
" помимо латыни, демонстрирует употребительность данной ",конструкции,языке,1
 подчиненной предикации в виде атрибутивной ,конструкции,языка,1
 подчиненной предикации в виде атрибутивной ,конструкции,языке,1
языке,конструкций,которые О. Есперсен справедливо считает ,1
" употребление более громоздкой, казалось бы, ",конструкции,с отпредикатным словом становится в ,1
 Решение напрашивалось само собой: уширить ,конструкцию,языком,1
 нахождении такого способа описания синтаксических ,конструкций,языков,1
   Все виды ,конструкций,с ʼallaδī ограничены в арабском ,1
языках,конструкция,"83) нехарактерна, она все же ",1
 прием используется при построении определительной ,конструкции,языках,1
" Заметим, что сама эта определительная ",конструкция,обычно не рассматривается в грамматиках ,1
грамматических,конструкций,в семантическое описание текста в ,1
языке,конструкции,to + инфинитив; герундий; подчиненное предложение с ,1
грамматическом,конструкции,а также о «скрытом» (по ,1
 неагентивность: Вежбицкая пишет о грамматических ,конструкциях,выражающих непричастность человека к ходу ,1
языком,конструкции,воздушных змеев ― это уже явно ,1
 вооруженному анализом логических понятий и ,конструкций,гегелевский стиль мышления представляется темным ,1
языках,конструкция,употребляется чрезвычайно широко.  ,1
" неудобным, что приходится пользоваться такими ",конструкциями,как «кусок мяса» или «стакан ,1
 возможными в результате определенной языковой ,конструкции, ,1
языковых,конструкций, ,1
языковые,конструкции,"и исследовать, что у него ",1
языковые,конструкции, ,1
"  В сущности, те же ",конструкции,"связаны и с обобщенным, абстрактным ",1
  Эта ,конструкция,со всеми ее подпорками и ,1
языке,конструкции,молекул.  ,1
" тамтамов, а настоящие послания, имеющие ",конструкцию,грамматического,1
языках,конструкция,"совпадает с грамматическим строем, а ",1
грамматические,конструкции,"типа «говорят», «считают», «полагают» и ",1
 фигуративное употребление своих слов и ,конструкций,а требует его (притом не только ,1
 ограничилось провозглашением идеи ― Рамзай разработал ,конструкцию,подземного газогенератора и попытался уговорить ,1
грамматических,конструкций, ,1
  При переводе пассивных ,конструкций,"необходимо помнить, что в русском ",1
" очень смелой, иногда прямо невозможной, ",конструкции,чтобы только как-нибудь повторить кусочек ,1
 в интонации и в синтаксической ,конструкции, ,1
  Такой омонимичной ,конструкции,"грамматика, включающая трансформации, припишет две ",1
 связана с борьбой сложных (периодических) ,конструкций,с простыми ― в основном бессоюзными ,1
грамматические,конструкции,"особенно сложные, заменяются при воспроизведении ",1
языке,конструкцией,"нам представляется инверсией, не будучи ",1
грамматическую,конструкцию,придающую его речи своеобразную академическую ,1
 главным образом синтаксических и фразеологических ,конструкций,выработанных на украинской почве.  ,1
языке,конструкции,"в гномичности выражений, в близости ",1
язык,конструкцию,"но и темы, но и ",1
грамматических,конструкций,русскому языку совершенно чуждых.  ,1
 новую логику вещей: получается не ,конструкция,"слов, но адаптация смысла к ",1
язык,конструкции,"весьма прост и, благодаря нормальному ",1
 теперь определяли организацию устно-монологических ,конструкций,сказов»).  ,1
языку,конструкции,представляло собою каноническую оду.  ,1
 странных конструкций известны; сейчас эти ,конструкции,"бессмысленны и являются пережитками, однако ",1
" то, чтобы понять особенность его ",конструкции,грамматической,1
язык,конструкции,"свои особенности, не всегда удобоусвояемые ",1
" старые образы и метафоры, старые ",конструкции,языка,1
язык,конструкции,совершенно чужд арийским и обороты ,1
 в каждое слово и в ,конструкцию,"каждой фразы, с каждым шагом ",1
" себе, уясняя для нас грамматическую ",конструкцию,"того языка, на котором мы ",1
" классических авторов, или уясняя нам ",конструкцию,языка,1
 чтоб там узнать и научиться ,конструкции,языку,1
металлические,конструкции,быстро меняют своё назначение.  ,0
металлические,конструкции,из сварных швеллеров.  ,0
металлические,конструкции,вырастающие из неведомой глубины.  ,0
металлических,конструкций,"для театра, прочих необходимых деталей ",0
железобетонных,конструкций,и сейчас направлялся в заводское ,0
деревянным,конструкциям,и соответствует всем экологическим требованиям ,0
железобетонных,конструкций,бывших когда-то гордостью промышленного кластера ,0
металлические,конструкции,"от старого слоя краски, предварительно ",0
металлические,конструкции,зачистили и покрасили.  ,0
металлическая,конструкция,"из труб, напоминающая клетку, установленную ",0
металлические,конструкции,мы проходим в просторное отделение ,0
металлическая,конструкция,сложись её судьба более значимо ,0
металлических,конструкций,"патенты Российской империи № 1894, 1895 ",0
металлические,конструкции,"обрушились вниз, частично повредив уже ",0
Металлические,конструкции,"башни заминировали, всё подготовили для ",0
деревянные,конструкции,"и плавно, словно в диораме ",0
деревянной,конструкции,   И лично мне очень хочется ,0
" коромысел, лыж и саней всевозможной ",конструкции,деревянные,0
деревянной,конструкцией,выглядит лучше и обладает более ,0
 Это могут быть некие быстровозводимые ,конструкции,деревянное,0
металлическая,конструкция,собранная из телевизионных «журавлей».  ,0
металлические,конструкции,"выпала находившаяся внутри девочка, мало ",0
железобетонных,конструкций,а также специальные модели для ,0
металлических,конструкцию,"представляют собой гальваническую пару, то ",0
металлические,конструкции,похожие на гигантских размеров виноградные ,0
" дворце в декабре 1837 года, ",конструкции,деревянные,0
деревянные,конструкции,или их отдельные узлы.  ,0
металлических,конструкций,особой комиссией в составе виднейших ,0
деревянных,конструкций, ,0
металлических,конструкций,из-за недостаточного финансирования затянулись до ,0
металлическую,конструкцию,"резину, чтобы резина не только ",0
металлическую,конструкцию,поверх минераловатной теплоизоляции декоративной панелью ,0
деревянной,конструкцией,"опорные столбы, перекрытие, стены, облицованные ",0
 около 50 м2) со столбовой ,конструкцией,деревянной,0
деревянная,конструкция,типа помоста на двадцати вертикальных ,0
железобетонных,конструкций,"и изделий, отовсюду увольняли, мотался ",0
деревянные,конструкции,которого сохранились на 95%.  ,0
 ночных разведок) применялись схожие по ,конструкции,металлические,0
деревянную,конструкция,которой частично представлена на одном ,0
деревянных,конструкций,"удалось, когда были созданы синтетическая ",0
деревянной,конструкции,с применением металла).  ,0
металлических,конструкций,в самых невероятных условиях.  ,0
железобетонных,конструкций,"этого скелета, без которого любая ",0
металлическую,конструкцию,и она встала на колесики ,0
металлические,конструкции,а Одутловатова пошлют по городу ,0
металлические,конструкции,"не похожее на металл, ― зрелище ",0
металлического,конструкция,"утратила убедительность и безусловность, если ",0
деревянные,конструкции,"по стенам, «когтистые» крыши, крытые ",0
деревянные,конструкции,Бетанкура.  ,0
 изменилось: та же каркасно-столовая ,конструкция,деревянные,0
металлические,конструкции,"облицевали деревом, а свободное место ",0
деревянная,конструкция,обряженная в лохмотья.  ,0
деревянно,конструкция,прекрасно показала себя в крэш ,0
деревянные,конструкции,были установлены еще в прошлом ,0
 Возводиться здание будет из наших ,конструкций,железобетонных,0
железобетонных,конструкций,"керамической плитки, сантехники, линолеума.  ",0
металлических,конструкций,холодильных складов емкостью от 50 ,0
металлическую,конструкцию,с колокольчиками.  ,0
железобетонные,конструкции,с когтями-арматурой.  ,0
металлические,конструкции,"дыбились над руинами, как изломанные ",0
металлической,конструкции,с трех метров до нереального ,0
 Безударная алмазная резка любых строительных ,конструкций,железобетонных,0
железобетонных,конструкций,"резервуары с питьевой водой, резервуары ",0
железобетонных,конструкций,"резервуары с питьевой водой, резервуары ",0
металлических,конструкций,принципиально нового оборудования.  ,0
металлических,конструкций,отвечающих современным требованиям строительной индустрии ,0
Металлические,конструкции,металлических,0
металлических,конструкций,"такие, как балки перекрытия, колонны ",0
железобетонных,конструкций,"и размещены в глинах, реже ",0
металлических,конструкций,и железобетона обусловило возможность применения ,0
деревянных,конструкций,разработанных специально для этого интерьера ,0
деревянные,конструкции,в виде решетки для озеленения ,0
железобетонных,конструкций,1» Диплом I степени за ,0
железобетонных,конструкций,и кончая трубами для ЖКХ ,0
металлических,конструкций,и изделий/7  ,0
"  По-2, легкий биплан, ",конструкция,деревянный,0
железобетонных,конструкций,и изделий.  ,0
   Легкая и ажурная ,конструкция,металлических,0
металлические,конструкции,стенки подчеркивают устремленность растений ввысь ,0
деревянной,конструкцией,дома можно использовать минеральную вату ,0
железобетонные,конструкции,отделочные материалы.  ,0
железобетонных,конструкций,"и изделий ― на 6, 2 ",0
железобетонных,конструкций,"из Украины, и в результате ",0
металлических,конструкций,и изделий: ферм и колонн ,0
металлических,конструкций,никто даже не пытался.  ,0
  Таких садовых ,конструкций,деревянные,0
деревянная,конструкция,тоже может занять свое место ,0
металлических,конструкций,для агрессивных химических сред.  ,0
деревянных,конструкций,с повышенными требованиями к декоративному ,0
металлических,конструкций,коней с глазами-фарами мне ,0
железобетонных,конструкций,"МДС 21-2.2000, разработанные ГУП ",0
Металлические,конструкций,окрашены методом электростатической порошковой окраски ,0
железобетонные,конструкции,завода использовались при строительстве зданий ,0
железобетонных,конструкций,для наших объектов является ЖБК ,0
деревянных,конструкций,"интерьеров, фасадов зданий с повышенными ",0
железобетонные,конструкции,"для кирпичных домов, которыми застраивался ",0
железобетонных,конструкций,жилых и промышленных зданий.  ,0
 мере накопления опыта композитные мостовые ,конструкции,металлических,0
металлические,конструкции,как будто бы разрушенного мира ,0
металлические,конструкции, Но поскольку они расположены горизонтально ,0
железобетонных,конструкций,"рассказывает Андрей Завъялов, ― в прошлом ",0
деревянные,конструкции,чердаков не обработаны огнезащитным составом ,0
железобетонной,конструкцией,"бронеколпаками, подземными убежищами, галереями и ",0
" висящими внизу кирпичами, скрывающими таинственную ",конструкцию,металлической,0
металлических,конструкций,уравновешиваются теплотой неравномерно окрашенного дерева ,0
деревянных,конструкций,модифицированная краска марки ОЗК-45Д ,0
металлические,конструкции,размещенные затем на протяжении всей ,0
железобетонных,конструкций,"в принципе, были решены еще ",0
   Сварная ,конструкция,Металлическаяконструкция,0
 К легкосбрасываемым конструкциям относятся также ,конструкции,металлических,0
металлических,конструкций,  ― Прокатные и гнутые профили конструкций ,0
   ― Крепежные элементы ,конструкций,металлическихконструкций,0
металлических,конструкций,металлическихконструкций,0
металлических,конструкций,конструкций,0
металлических,конструкций,применяемые приборы и оборудование  ,0
металлических,конструкций,металлическихконструкций,0
металлических,конструкций,в строительстве и архитектуре зданий ,0
Железобетонные,конструкции,  ― Архитектурно-проектные работы  ,0
деревянные,конструкции,имитирующие оборудование пляжа.  ,0
металлические,конструкции, Приезжали за долгами и из ,0
Металлическая,конструкция,Краснолужского железнодорожного моста послужила основой ,0
  Существенно увеличивают стоимость ,конструкции,деревянные,0
металлических,конструкциях,газоотводящего тракта.  ,0
деревянной,конструкции,оконных блоков на Кочевском деревообрабатывающем ,0
деревянные,конструкции,и стеклопакеты предприятия сертифицированы в ,0
металлических,конструкций,"зданий, коммуникаций и не сварочного ",0
Металлические,конструкции,осматриваются не реже одного раза ,0
металлические,конструкции,зданий и сооружений необходимо периодически ,0
металлическими,конструкции,металлическими листами или асбестовыми одеялами ,0
металлические,конструкции,"с неметаллизированным покрытием, по которым ",0
металлических,конструкций,в зоны которых попадают открытые ,0
металлические,конструкции,стеллажи и другие части должны ,0
металлических,конструкций,кабельных колодцев и подпиточных пунктов ,0
металлических,конструкций,опор М Измеряются прогибы металлических ,0
деревянных,конструкций,возникла совершенно новая ситуация: по ,0
металлических,конструкций,пролили краску.  ,0
 Особо важным этапом при разработке ,конструкции,металлического,0
деревянно,конструкция,на площади порядка 100 квадратных ,0
металлические,конструкции,"стеклянных элементов, выглядят весьма эстетично ",0
железобетонных,конструкций,  ― В Ступино?  ,0
металлические,конструкции,транспортного кольца начал обследовать «Гормост ,0
металлических,конструкций,деревянных брусьев и щитов.  ,0
деревянная,конструкция,"сбитая из фанерных кругов, квадратов ",0
металлические,конструкции,в стиле испанской архитектуры.  ,0
деревянных,конструкций,"например, «Евро Стрип» шведского производства ",0
металлические,конструкции,высятся политические модели свободы.  ,0
деревянных,конструкций,"она должна быть здоровая, плотная ",0
металлические,конструкции,"галерей, на которые выходят бесчисленные ",0
металлические,конструкции,по-новому организуют двусветное пространство парадной ,0
железобетонные,конструкции,а наклон двух больших виражей ,0
железобетонные,конструкции,для заделки промоин в дамбе ,0
металлические,конструкции,"не сварены, а соединены болтами ",0
металлическую,конструкцию,с парой мощных пропеллеров и ,0
" стояло, сверкала под лампой чудовищная ",конструкция,металлическими,0
металлические,конструкции,"защищены цинковым покрытием, нанесенным методом ",0
металлических,конструкций, ,0
металлических,конструкций,зрительно выглядят очень компактно и ,0
деревянной,конструкцией,при помощи веревок.  ,0
металлических,конструкций,"для дворовых территорий, а также ",0
металлическими,конструкциями,полутораметровой высоты.  ,0
деревянных,конструкций, ,0
металлические,конструкции,деревянные строительные леса и подъемники ,0
металлических,конструкций,"похожих на антенны РЛС, нет ",0
деревянных,конструкций, ,0
металлических,конструкции,которые сумел перевезти для меня ,0
металлическим,конструкции,то лишь через два года ,0
деревянная,конструкция,"устроенная так, что во все ",0
металлические,конструкции,"с лунками, покрытые искусственной безворсовой ",0
железобетонных,конструкций,созданных военно-промышленным комплексом еще при ,0
металлических,конструкций,покрытых огнеупорной керамикой ― майоликой.  ,0
металлические,конструкции,"для станции «Павелецкая», и вела ",0
Деревянная,конструкция,покрыта чехлом из ровдуги ― оленьей ,0
железобетонных,конструкциях,"не умирало, а множилось, пока ",0
металлическую,конструкцию,"с надписью «Колхоз «Сознательный», на ",0
деревянные,конструкции,к лицу саду любого стиля ,0
Деревянные,конструкции,"оставили светлыми, обработав специальным составом ",0
" в 1930 году, и в ",конструкцию,железобетонные,0
" применяют древесину особых пород, различные ",конструкции,деревянных,0
 центр Коминтерна и представляло собой ,конструкцию,металлических,0
 конструкция так и оставалась лишь ,конструкцией,железобетонное,0
металлическую,конструкцию,крутить ее ― одному или со ,0
металлических,конструкций,"однотонность, одномерность спектакля.  ",0
металлических,конструкциях,круглого ярмарочного тента.  ,0
металлическая,конструкция,напоминающая космический корабль из фантастических ,0
металлической,конструкции,"Феликс наконец понял, перед ним ",0
металлических,конструкций,шасси.  ,0
металлических,конструкций,"метнулась вправо чья-то тень, и ",0
деревянная,конструкция,"под крышей, я время от ",0
 злосчастная машинка марки «Олимпия» устаревшей ,конструкции,деревянном,0
металлических,конструкций,"и трубопроводов на объектах, подконтрольных ",0
металлических,конструкций,"из огромных «стрекозиных» крыльев, неровно ",0
металлической,конструкции,может принять только мэр Москвы ,0
металлическая,конструкция,"возможно, с естествоиспытательской точки зрения ",0
металлические,конструкции,все изолируется от воды и ,0
металлических,конструкций,а материалом для кровли послужит ,0
 лоджий остекление из престижных алюминиевых ,конструкций,деревянных,0
металлическая,конструкция,"состоит из ростральной колонны, небольшой ",0
Деревянные,конструкции,здания были оштукатурены.  Огонь скрытно ,0
